Spanish,English
Comida,food
El pan,bread
El arroz,rice
El huevo,egg
La carne,meat
El pollo,chicken
El cerdo,pork
La carne de vaca/res,beef
El pescado,fish (food)
Las verduras,vegetables
La lechuga,lettuce
La cebolla,onion
El ajo,garlic
El pimiento,pepper
La zanahoria,carrot
El tomate,tomato
Las frutas,fruits
La manzana,apple
El plátano,banana
La piña,pineapple
La fresa,strawberry
La uva,grape
La bebida,drink
La leche,milk
El té,tea
El azúcar,sugar
Miel,honey
Quiero,I want
Con,with
La cocina,kitchen